Dates,Depression Score,OCD Score,Anxiety Score
8/12/17 12:05,16.66666667,5.555555556,11.11111111
8/12/17 17:15,0,0,0
8/12/17 17:18,0,0,0
8/13/17 9:27,10,0,0
8/13/17 16:50,6.666666667,0,0
8/13/17 18:16,0,0,0
8/14/17 11:34,0,0,0
8/15/17 9:15,8.333333333,0,0
8/15/17 9:18,0,0,0
8/15/17 9:36,11.11111111,0,11.11111111
8/15/17 12:57,0,0,0
8/15/17 14:03,13.33333333,0,6.666666667
8/15/17 17:54,0,0,0
8/17/17 12:48,0,0,0
8/17/17 12:56,12.5,12.5,0
8/17/17 18:11,8.333333333,12.5,0
8/19/17 19:20,0,5,0
8/20/17 18:52,4.545454545,4.545454545,9.090909091
8/20/17 19:13,13.04347826,13.04347826,4.347826087
8/21/17 4:10,7.142857143,7.142857143,7.142857143
8/21/17 14:14,15,10,5
8/21/17 15:32,21.05263158,10.52631579,15.78947368
8/21/17 17:12,0,0,0
8/22/17 4:15,19.04761905,9.523809524,14.28571429
8/22/17 16:55,0,0,0
8/22/17 17:14,10.52631579,5.263157895,0
8/23/17 4:17,19.04761905,4.761904762,9.523809524
8/23/17 10:52,17.39130435,4.347826087,8.695652174
8/23/17 10:54,17.39130435,4.347826087,8.695652174
8/23/17 15:19,17.64705882,23.52941176,0
8/24/17 4:20,0,6.25,0
8/24/17 8:07,6.25,6.25,0
8/25/17 4:16,10,5,5
8/25/17 15:35,20,0,0
8/25/17 16:56,0,0,0
8/26/17 8:08,0,10,5
8/27/17 7:02,15,5,0
8/27/17 10:08,0,4.347826087,0
8/28/17 7:58,10,5,0
8/28/17 8:01,0,10,0
8/30/17 15:31,0,9.090909091,0
8/30/17 19:28,0,0,0
8/30/17 19:58,0,11.76470588,0
8/30/17 20:02,26.66666667,20,20
8/30/17 20:16,0,0,0
8/30/17 21:06,4.166666667,12.5,0
8/31/17 6:52,6.666666667,0,0
8/31/17 7:01,5.263157895,5.263157895,5.263157895
8/31/17 7:03,5.263157895,10.52631579,0
8/31/17 16:59,0,0,0
8/31/17 17:08,0,0,0
8/31/17 21:18,0,11.11111111,0
9/1/17 8:08,0,0,0
9/1/17 8:10,0,0,5.263157895
9/1/17 8:33,10,10,10
9/1/17 14:46,0,0,0
9/2/17 19:26,0,0,0
9/3/17 6:13,15,5,5
9/4/17 18:27,13.33333333,0,6.666666667
9/5/17 5:04,0,5,0
9/5/17 5:17,0,7.692307692,0
9/5/17 7:57,5.882352941,0,0
9/5/17 18:43,4.545454545,9.090909091,0
9/6/17 4:12,0,0,5.555555556
9/6/17 5:06,0,4.545454545,4.545454545
9/6/17 7:25,0,6.666666667,0
9/6/17 10:38,0,0,0
9/6/17 20:12,0,0,0
9/7/17 19:26,9.523809524,9.523809524,9.523809524
9/8/17 10:53,0,0,0
9/9/17 21:13,0,4.545454545,9.090909091
9/10/17 10:50,0,0,0
9/10/17 21:13,13.63636364,4.545454545,9.090909091
9/11/17 21:50,0,0,0
9/11/17 21:53,0,0,0
9/12/17 20:00,7.142857143,0,0
9/12/17 20:05,5,10,5
9/13/17 12:47,0,0,0
9/13/17 20:44,0,12.5,0
9/14/17 7:17,5,0,0
9/14/17 7:23,13.33333333,0,13.33333333
9/14/17 7:31,0,5.555555556,5.555555556
9/15/17 15:08,3.846153846,0,0
9/15/17 17:31,5,5,5
9/15/17 17:45,8.695652174,0,0
9/16/17 9:25,5.882352941,0,0
9/16/17 13:02,5.263157895,0,0
9/16/17 18:31,15,0,0
9/16/17 18:42,5.555555556,5.555555556,5.555555556
9/16/17 20:54,20,20,0
9/17/17 7:41,0,0,0
9/17/17 8:50,42.85714286,14.28571429,0
9/17/17 12:27,0,0,0
9/17/17 16:55,0,0,0
9/17/17 18:05,12.5,12.5,12.5
9/18/17 4:08,25,12.5,0
9/18/17 4:50,0,7.692307692,7.692307692
9/18/17 20:16,29.16666667,0,8.333333333
9/19/17 4:56,4.347826087,4.347826087,8.695652174
9/19/17 10:43,0,13.33333333,0
9/19/17 11:50,0,0,0
9/19/17 17:16,12,12,4
9/19/17 19:38,0,0,0
9/20/17 4:15,0,7.692307692,0
9/20/17 4:54,6.666666667,6.666666667,6.666666667
9/20/17 10:36,0,0,7.692307692
9/20/17 10:36,10,10,10
9/21/17 4:49,0,9.090909091,0
9/21/17 19:22,14.28571429,4.761904762,9.523809524
9/23/17 15:30,0,0,0
9/23/17 15:38,0,0,0
9/23/17 18:38,0,0,0
9/23/17 19:03,9.090909091,0,0
9/23/17 19:05,7.692307692,0,0
9/23/17 19:08,0,16.66666667,0
9/23/17 19:26,0,0,0
9/24/17 18:11,6.25,12.5,0
9/24/17 18:13,14.28571429,7.142857143,0
9/29/17 23:00,0,0,0
9/30/17 14:46,0,0,0
10/1/17 19:57,0,0,0
10/2/17 16:11,0,25,0
10/2/17 17:56,4.166666667,0,8.333333333
10/4/17 12:40,4.545454545,13.63636364,0
10/4/17 13:45,0,0,0
10/9/17 11:27,0,9.523809524,0
10/9/17 11:29,4,4,0
10/9/17 18:27,14.28571429,4.761904762,4.761904762
10/9/17 18:28,0,0,0
10/9/17 18:33,0,0,0
10/10/17 7:01,8.333333333,25,8.333333333
10/10/17 7:08,0,0,0
10/10/17 9:26,14.28571429,7.142857143,7.142857143
10/10/17 9:43,0,0,0
10/10/17 9:46,6.25,12.5,0
10/10/17 9:51,0,0,0
10/10/17 10:35,11.11111111,11.11111111,0
10/10/17 10:59,11.11111111,5.555555556,5.555555556
10/10/17 17:01,3.846153846,0,0
10/10/17 17:03,22.22222222,5.555555556,5.555555556
10/10/17 18:45,0,0,0
10/11/17 7:20,0,0,5.555555556
10/11/17 10:14,4.166666667,0,0
10/11/17 11:18,0,0,0
10/12/17 11:55,10.52631579,0,5.263157895
10/12/17 15:47,5.555555556,11.11111111,11.11111111
10/13/17 11:37,13.04347826,0,8.695652174
10/15/17 12:46,11.53846154,7.692307692,7.692307692
10/16/17 16:42,6.25,6.25,12.5
10/18/17 8:15,6.666666667,6.666666667,13.33333333
10/18/17 12:58,0,0,0
10/18/17 19:46,0,0,0
10/19/17 10:56,9.090909091,9.090909091,0
10/19/17 20:14,21.42857143,0,7.142857143
10/19/17 21:25,0,8.333333333,0
10/20/17 5:47,4.166666667,4.166666667,4.166666667
10/20/17 21:47,15.38461538,0,7.692307692
10/20/17 22:05,0,0,0
10/22/17 9:32,0,0,0
10/23/17 9:48,0,0,0
10/24/17 12:07,13.63636364,4.545454545,0
10/24/17 13:07,0,0,0
10/24/17 18:11,0,0,0
10/25/17 19:38,0,0,0
10/26/17 7:12,0,0,0
10/26/17 19:35,5.882352941,11.76470588,5.882352941
